,US Large Cap Equities,US Small Cap Equities,US Investment Grade Bonds,US High Yield Bonds,US Bank Loans,Developed Country Equities,Emerging Market Equities,Emerging Market Debt,Sentiment Score
2007-11-23,783.791,755.033,1691.436,582.571,1739.77,2238.34,1186.06,549.5275,-0.048754
2007-11-26,766.608,735.066,1706.876,584.037,1739.15,2249.05,1200.94,549.4082,-0.035909
2007-11-27,777.46,743.269,1695.604,582.32,1736.93,2243.43,1187.93,549.162,-0.039437
2007-11-28,799.655,770.045,1686.947,584.362,1736.9,2267.88,1203.67,550.5111,-0.058675
2007-11-29,800.19,766.059,1692.659,586.41,1737.83,2293.59,1226.75,551.9739,-0.083036
2007-11-30,806.439,767.768,1690.081,589.053,1738.57,2306.29,1242.06,552.9601,-0.089517
2007-12-03,801.95,759.979,1697.497,589.57,1739.77,2299.15,1243.17,554.4156,-0.115647
2007-12-04,796.88,752.065,1696.201,588.267,1739.31,2283.91,1246.81,554.0193,-0.121444
2007-12-05,808.461,765.648,1691.811,588.995,1739.28,2298.4,1269.44,554.147,-0.111333
2007-12-06,820.851,786.952,1681.15,588.873,1739.34,2304.69,1280.52,554.269,-0.115417
2007-12-07,820.15,785.523,1669.84,589.733,1739.48,2323.76,1282.74,553.7968,-0.117509
2007-12-10,826.41,791.207,1668.153,591.334,1740.72,2337.8,1276.9,553.9895,-0.067379
2007-12-11,805.29,766.279,1684.269,593.102,1742.17,2336.19,1279.18,554.4674,-0.069202
2007-12-12,809.536,771.717,1677.249,592.12,1741.96,2331.1,1272.12,554.4886,-0.076597
2007-12-13,810.445,769.469,1668.619,590.784,1741.99,2268.13,1242.3,553.7704,-0.085156
2007-12-14,799.4,753.94,1662.882,590.322,1741.49,2243.19,1224.65,552.968,-0.081333
2007-12-17,787.168,739.108,1668.414,590.101,1741.95,2192.53,1183.93,553.3879,-0.05611
2007-12-18,791.761,754.07,1676.331,589.952,1741.7,2192.59,1189.49,553.7301,-0.070789
2007-12-19,791.061,756.133,1681.729,589.903,1741.71,2179.99,1197.03,554.2664,-0.086799
2007-12-20,795.428,767.547,1686.455,589.267,1741.2,2180.14,1196.0,554.6181,-0.096662
2007-12-21,808.5,785.61,1673.007,588.44,1741.36,2209.79,1215.99,554.554,-0.118412
2007-12-24,815.046,794.4,1669.831,588.568,1742.26,2215.73,1237.68,554.8338,-0.08001
2007-12-26,815.56,797.033,1663.331,588.659,1742.78,2238.43,1243.66,554.6208,-0.04706
2007-12-27,803.993,773.515,1671.639,589.497,1743.05,2246.42,1248.52,555.3446,-0.043339
2007-12-28,804.995,771.768,1681.88,590.065,1743.06,2254.05,1247.07,556.127,-0.047586
2007-12-31,799.82,766.037,1689.135,590.78,1744.0,2253.36,1245.59,556.4632,-0.105452
2008-01-02,788.617,753.554,1703.322,590.74,1744.75,2253.22,1235.23,557.8132,-0.111322
2008-01-03,788.053,745.014,1701.598,589.021,1745.19,2247.46,1227.51,557.9777,-0.120581
2008-01-04,768.245,721.602,1703.761,586.376,1745.85,2208.96,1225.03,558.043,-0.12375
2008-01-07,769.819,723.961,1705.233,584.895,1746.12,2188.03,1207.47,558.7996,-0.144964
2008-01-08,755.531,704.865,1703.212,583.303,1745.46,2196.78,1220.31,559.2703,-0.158233
2008-01-09,764.852,712.129,1703.596,578.971,1743.32,2179.11,1227.0,559.2507,-0.148748
2008-01-10,771.134,720.218,1692.021,579.962,1741.21,2163.53,1221.29,558.2562,-0.145377
2008-01-11,760.704,704.655,1699.768,581.016,1739.01,2153.2,1213.7,558.3972,-0.166539
2008-01-14,768.765,712.49,1701.68,581.526,1739.48,2170.91,1218.0,558.8165,-0.212607
2008-01-15,749.7,697.434,1708.945,581.304,1738.13,2123.15,1196.16,559.3998,-0.206864
2008-01-16,745.434,699.912,1707.258,579.186,1735.86,2068.2,1147.47,559.5847,-0.229858
2008-01-17,723.663,680.577,1711.083,577.212,1731.9,2070.91,1140.76,559.2444,-0.229478
2008-01-18,719.583,673.184,1709.293,576.401,1726.68,2050.86,1136.25,558.5644,-0.21975
2008-01-22,712.03,671.58,1718.809,573.53,1721.14,1938.0,1041.06,557.8441,-0.200437
2008-01-23,727.29,693.439,1723.231,572.834,1707.99,1913.53,1055.18,558.974,-0.214472
2008-01-24,735.219,692.728,1704.397,576.267,1705.34,2010.85,1083.34,558.2903,-0.212104
2008-01-25,724.181,688.609,1711.896,580.613,1704.57,2038.27,1111.14,558.9514,-0.219446
2008-01-28,737.335,702.386,1712.942,580.32,1702.98,2014.24,1087.71,559.2518,-0.195149
2008-01-29,742.096,705.199,1707.166,582.851,1700.52,2043.63,1102.82,559.1735,-0.189283
2008-01-30,738.145,695.488,1699.387,583.14,1697.01,2028.61,1091.35,558.8393,-0.18403
2008-01-31,750.972,713.298,1709.097,582.753,1687.75,2044.11,1088.72,559.7626,-0.186877
2008-02-01,761.146,730.5,1714.48,584.213,1675.33,2075.7,1120.0,560.2797,-0.181898
2008-02-04,753.426,723.461,1710.53,584.954,1674.8,2088.04,1142.47,560.2288,-0.201124
2008-02-05,729.724,701.578,1717.205,583.433,1669.19,2019.11,1127.76,560.0245,-0.194742
2008-02-06,723.704,692.493,1714.578,582.48,1660.35,2002.83,1104.86,559.7328,-0.189866
2008-02-07,729.347,702.777,1701.944,579.873,1648.83,1963.31,1095.5,557.9751,-0.188188
2008-02-08,726.87,698.928,1708.868,577.966,1642.05,1961.5,1095.37,555.5237,-0.190335
2008-02-11,731.325,699.746,1711.199,575.914,1624.46,1947.88,1084.16,556.0874,-0.157428
2008-02-12,736.082,705.482,1703.879,574.821,1613.01,2002.94,1101.26,556.4512,-0.136842
2008-02-13,746.006,721.931,1702.659,575.146,1609.9,1994.74,1111.51,556.722,-0.141058
2008-02-14,736.093,705.319,1690.518,575.609,1612.4,2023.65,1135.79,555.3717,-0.13425
2008-02-15,736.522,701.523,1693.683,575.097,1617.96,2004.56,1133.82,555.3294,-0.146854
2008-02-19,736.031,702.345,1685.051,574.354,1621.54,2045.31,1153.72,555.1351,-0.150741
2008-02-20,742.266,710.023,1681.252,572.807,1624.32,1998.52,1139.53,554.8527,-0.14666
2008-02-21,732.783,696.28,1693.921,574.302,1627.44,2035.64,1154.56,555.4357,-0.151907
2008-02-22,738.427,695.426,1691.661,574.504,1631.6,2023.98,1150.3,556.0169,-0.165357
2008-02-25,749.118,710.464,1681.465,575.68,1637.19,2058.1,1161.46,556.4276,-0.164995
2008-02-26,754.383,717.325,1684.718,578.166,1643.67,2086.12,1172.3,557.5367,-0.168798
2008-02-27,753.218,716.442,1685.904,578.65,1648.16,2119.24,1190.89,557.5128,-0.1739
2008-02-28,746.46,705.717,1695.523,577.839,1647.86,2097.26,1192.04,558.3633,-0.174714
2008-02-29,726.424,686.18,1710.334,575.834,1645.42,2070.06,1167.66,558.7771,-0.181666
2008-03-03,726.802,684.216,1708.951,575.012,1642.91,2031.53,1144.87,558.3948,-0.182915
2008-03-04,724.036,680.98,1701.265,574.306,1642.99,2014.01,1136.2,558.6817,-0.194596
2008-03-05,728.065,683.741,1687.641,574.376,1643.2,2036.12,1142.17,558.6839,-0.188812
2008-03-06,711.624,662.776,1686.814,573.597,1644.59,2037.75,1144.28,557.8512,-0.185188
2008-03-07,705.367,660.112,1689.918,572.238,1643.36,2001.96,1117.5,557.1342,-0.19769
2008-03-10,693.667,643.966,1695.617,571.445,1642.69,1979.25,1093.94,557.0843,-0.223558
2008-03-11,718.999,673.81,1677.482,569.764,1641.88,1991.41,1118.4,557.3823,-0.216735
2008-03-12,712.899,667.32,1688.452,568.849,1641.65,2036.76,1131.16,558.2477,-0.216928
2008-03-13,717.037,679.727,1680.074,565.446,1640.91,2015.98,1099.82,557.5282,-0.220484
2008-03-14,702.309,662.917,1688.855,566.026,1639.51,1999.3,1092.54,557.1366,-0.235302
2008-03-17,694.542,650.479,1693.62,563.725,1636.33,1939.07,1044.63,556.6603,-0.261016
2008-03-18,723.595,681.935,1683.703,565.258,1630.3,1990.01,1065.17,558.4536,-0.270112
2008-03-19,706.005,664.127,1692.872,567.879,1631.23,1975.18,1065.94,559.4693,-0.267368
2008-03-20,722.338,681.421,1694.443,567.575,1630.96,1945.19,1045.94,559.7731,-0.257632
2008-03-24,734.062,701.278,1678.793,570.605,1632.81,1946.06,1072.74,559.8416,-0.231622
2008-03-25,736.606,705.272,1682.322,573.315,1635.26,2026.56,1104.35,559.8778,-0.22061
2008-03-26,730.336,702.112,1683.762,573.588,1637.89,2037.16,1107.6,559.0887,-0.223271
2008-03-27,721.92,692.386,1679.654,574.073,1639.91,2050.31,1106.66,558.4388,-0.202064
2008-03-28,716.15,683.182,1684.54,574.4,1641.64,2045.44,1112.76,558.5159,-0.212425
2008-03-31,720.319,687.967,1687.63,572.844,1643.86,2038.62,1104.58,557.6399,-0.210362
2008-04-01,745.735,710.65,1676.885,573.815,1644.98,2057.04,1113.77,557.6643,-0.212845
2008-04-02,744.777,712.266,1676.288,576.202,1646.45,2096.38,1137.69,558.0655,-0.20672
2008-04-03,746.144,713.573,1677.353,577.596,1649.76,2103.32,1142.9,558.86,-0.203662
2008-04-04,747.086,713.729,1690.68,580.744,1653.45,2119.67,1145.21,560.8569,-0.218567
2008-04-07,748.357,712.68,1687.692,584.024,1657.96,2133.55,1160.63,561.9876,-0.212866
